Data,SetPoint,Out,SondaRiferimento
2020/11/01 07:23:43,15,err,17.687
2020/11/01 07:24:45,15,err,17.687
2020/11/01 07:25:47,15,err,17.687
2020/11/01 07:26:50,15,err,17.687
2020/11/01 07:27:52,15,err,17.687
2020/11/01 07:28:54,15,err,17.687
2020/11/01 07:29:56,15,err,17.687
2020/11/01 07:30:58,15,err,17.687
2020/11/01 07:32:00,15,err,17.687
2020/11/01 07:33:02,15,err,17.687
2020/11/01 07:34:04,15,err,17.687
2020/11/01 07:35:06,15,err,17.625
2020/11/01 07:36:08,15,err,17.687
2020/11/01 07:37:10,15,err,17.687
2020/11/01 07:38:13,15,err,17.687
2020/11/01 07:39:15,15,err,17.687
2020/11/01 07:40:17,15,err,17.687
2020/11/01 07:41:19,15,err,17.625
2020/11/01 07:42:21,15,err,17.687
2020/11/01 07:43:23,15,err,17.625
2020/11/01 07:44:25,15,err,17.625
2020/11/01 07:45:27,15,err,17.625
2020/11/01 07:46:29,15,err,17.625
2020/11/01 07:47:31,15,err,17.625
2020/11/01 07:48:33,15,err,17.625
2020/11/01 07:49:35,15,err,17.625
2020/11/01 07:50:37,15,err,17.625
2020/11/01 07:51:39,15,err,17.625
2020/11/01 07:52:41,15,err,17.625
2020/11/01 07:53:43,15,err,17.625
2020/11/01 07:54:45,15,err,17.625
2020/11/01 07:55:47,15,err,17.625
2020/11/01 07:56:49,15,err,17.625
2020/11/01 07:57:51,15,err,17.625
2020/11/01 07:58:53,15,err,17.625
2020/11/01 07:59:55,15,err,17.625
2020/11/01 08:00:57,15,err,17.625
2020/11/01 08:01:59,15,err,17.625
2020/11/01 08:03:01,15,err,17.562
2020/11/01 08:04:03,15,err,17.562
2020/11/01 08:05:05,15,err,17.625
2020/11/01 08:06:07,15,err,17.625
2020/11/01 08:07:09,15,err,17.562
2020/11/01 08:08:11,15,err,17.562
2020/11/01 08:09:13,15,err,17.562
2020/11/01 08:10:15,15,err,17.562
2020/11/01 08:11:17,15,err,17.625
2020/11/01 08:12:19,15,err,17.625
2020/11/01 08:13:21,15,err,17.562
2020/11/01 08:14:23,15,err,17.625
2020/11/01 08:15:25,15,err,17.562
2020/11/01 08:16:27,15,err,17.562
2020/11/01 08:17:29,15,err,17.562
2020/11/01 08:18:31,15,err,17.562
2020/11/01 08:19:33,15,err,17.562
2020/11/01 08:20:35,15,err,17.562
2020/11/01 08:21:37,15,err,17.562
2020/11/01 08:22:39,15,err,17.562
2020/11/01 08:23:41,15,err,17.562
2020/11/01 08:24:43,15,err,17.562
2020/11/01 08:25:45,15,err,17.562
2020/11/01 08:26:47,15,err,17.562
2020/11/01 08:27:49,15,err,17.562
2020/11/01 08:28:51,15,err,17.562
2020/11/01 08:29:53,15,err,17.562
2020/11/01 08:30:55,15,err,17.562
2020/11/01 08:31:57,15,err,17.562
